"I am","Approximate number of takate-kote/box-tie suspension experiences that these answers are based upon","Do your wrap placement preferences vary depending on what position you will be suspended in?","Preferred UPPER WRAP placement","In your ideal upper wrap placement, where are the wraps in relation to the top of the armpit, i.e. the spot in the front where the arm joins your body?","If the UPPER wraps are placed TOO HIGH, problems I have had include:","Even when wraps were placed ideally, I have experienced the following problems:","If the UPPER wraps are placed TOO LOW, problems I have had include:","Preferred LOWER WRAP placement","If the LOWER wraps are placed TOO HIGH, problems I have had include:","If the LOWER wraps are placed TOO LOW, problems I have had include:","When both upper and lower wraps are placed ideally, how close together are they?","Height","With your arm held horizontally in front of you, elbow bent at 90 degrees, and shoulder pulled in towards the socket (extended neither back nor forward), what is the distance between the front of your armpit and the inside of your elbow?"
"filling this out for myself (as a bottom)","25-50","I'm not sure","Well up on the deltoid","The top of the wraps is just about at that point","Nonspecific tingling (loss of circulation or unclear cause)","Nonspecific tingling (loss of circulation or unclear cause)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Unusual discomfort at the site of the wraps","Well below the midpoint of the upper arm","Localized tingling in the back of the hand and forearm (apparent radial nerve compression)","Localized tingling on the pinky side of the hand (apparent ulnar nerve compression)","More space between wraps than the width of the wraps","5' 9""","6"""
"filling this out for one specific bottom I tie frequently","10-25","No","Well up on the deltoid","The top of the wraps is just about at that point","Unusual discomfort at the site of the wraps","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Petechia (speckled bruising, usually between or below the wraps), Unusual discomfort at the site of the wraps","I always place them just below the point of the arm pit.","Around the midpoint of the upper arm","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Unusual discomfort at the site of the wraps","I never have gotten them to low","More space between wraps than the width of the wraps","5' 7""","6.5"""
"as a switch",,"No","Below the gap between deltoid and tricep, but above the midpoint of the upper arm","There is space between the top of the wraps and that point","None","None","None","Well below the midpoint of the upper arm","None","None","3 to 4 rope-width gap","5'8""",
"filling this out for one specific bottom I tie frequently","25-50","No","Just at the bottom of the deltoid","The top of the wraps is just about at that point","None","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Unusual discomfort at the site of the wraps","Below the gap between deltoid and tricep, but above the midpoint of the upper arm","None","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Tingling thumb","Doubled-rope-width gap","169cm","18cm"
"filling this out for myself (as a bottom)","25-50","No","Just at the bottom of the deltoid","The top of the wraps is just about at that point","None","None","Localized tingling in the back of the hand and forearm (apparent radial nerve compression)","Around the midpoint of the upper arm","Localized tingling in the back of the hand and forearm (apparent radial nerve compression)","Localized tingling on the pinky side of the hand (apparent ulnar nerve compression)","3 to 4 rope-width gap","172cm",
"filling this out for myself (as a bottom)","25-50","No","Just at the bottom of the deltoid","The top of the wraps is just about at that point","None","None","Localized tingling in the back of the hand and forearm (apparent radial nerve compression)","Around the midpoint of the upper arm","Localized tingling in the back of the hand and forearm (apparent radial nerve compression)","Localized tingling on the pinky side of the hand (apparent ulnar nerve compression)","3 to 4 rope-width gap","172cm",
"filling this out for one specific bottom I tie frequently","> 200","No","Well up on the deltoid","The top of the wraps is just about at that point","Nonspecific tingling (loss of circulation or unclear cause)","Nonspecific tingling (loss of circulation or unclear cause), Petechia (speckled bruising, usually between or below the wraps), Unusual discomfort at the site of the wraps","Nonspecific tingling (loss of circulation or unclear cause), Petechia (speckled bruising, usually between or below the wraps), Unusual discomfort at the site of the wraps","Below the gap between deltoid and tricep, but above the midpoint of the upper arm","None","Nonspecific tingling (loss of circulation or unclear cause), Unusual discomfort at the site of the wraps","Doubled-rope-width gap","5' 3""",
"filling this out for myself (as a bottom)","< 5","Yes","Well up on the deltoid","There is space between the top of the wraps and that point","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Below the gap between deltoid and tricep, but above the midpoint of the upper arm","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","More space between wraps than the width of the wraps",,
"filling this out for one specific bottom I tie frequently","10-25","No","Just at the bottom of the deltoid","The top of the wraps is just about at that point","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Around the midpoint of the upper arm","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Petechia (speckled bruising, usually between or below the wraps)","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Petechia (speckled bruising, usually between or below the wraps)","More space between wraps than the width of the wraps","168cm","20cm"
"filling this out for myself (as a bottom)","> 200","No","Well up on the deltoid","The wraps are entirely above that point","None","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Impaired movement of the thumb, Petechia (speckled bruising, usually between or below the wraps), None","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Wrist drop (difficulty extending the hand or fingers), Impaired movement of the thumb, Unusual discomfort at the site of the wraps","On the bottom of the deltoid","None","Nonspecific tingling (loss of circulation or unclear cause), Localized tingling in the back of the hand and forearm (apparent radial nerve compression), Localized tingling on the pinky side of the hand (apparent ulnar nerve compression), Wrist drop (difficulty extending the hand or fingers), Impaired movement of the thumb, Unusual discomfort at the site of the wraps","1-rope-width gap","5'4""",
