,X,type,experiences,placement.varies,upper.placement,vs.armpit,lower.placement,ideal.gap,height,arm.length,ideal_tingling,ideal_ulnar.tingling,ideal_petechia,ideal_discomfort,ideal_radial.tingling,ideal_thumb.motor,ideal_wrist.drop,upper.high_tingling,upper.high_ulnar.tingling,upper.high_petechia,upper.high_discomfort,upper.high_radial.tingling,upper.high_thumb.motor,upper.high_wrist.drop,upper.low_tingling,upper.low_ulnar.tingling,upper.low_petechia,upper.low_discomfort,upper.low_radial.tingling,upper.low_thumb.motor,upper.low_wrist.drop,lower.high_tingling,lower.high_ulnar.tingling,lower.high_petechia,lower.high_discomfort,lower.high_radial.tingling,lower.high_thumb.motor,lower.high_wrist.drop,lower.low_tingling,lower.low_ulnar.tingling,lower.low_petechia,lower.low_discomfort,lower.low_radial.tingling,lower.low_thumb.motor,lower.low_wrist.drop
1,1,bottom,25-50,I'm not sure,high-deltoid,top-touching,below-midpoint,>4 rope,"5' 9""","6""",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19,20,bottom,10-25,I'm not sure,high-deltoid,top-touching,below-midpoint,>4 rope,"5'2""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
47,49,bottom,50-200,Yes,high-deltoid,top-touching,below-midpoint,>4 rope,180 cm,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,19,top,5-10,Yes,gap,top-touching,below-midpoint,2 rope,"5'9""","6.5""",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,23,bottom,25-50,No,gap,top-touching,below-midpoint,3-4 rope,"5' 2""",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
34,36,bottom,50-200,No,high-deltoid,top-touching,low-deltoid,<1 rope,"5'3""",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,10,bottom,> 200,No,high-deltoid,above,low-deltoid,1 rope,"5'4""",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
33,35,bottom,50-200,No,high-deltoid,top-touching,low-deltoid,NA,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
30,32,bottom,5-10,No,high-deltoid,below,low-midpoint,>4 rope,171cm,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,17,bottom,25-50,Yes,high-deltoid,covering,low-midpoint,>4 rope,"5' 3""",,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
