,"X","type","experiences","placement.varies","upper.placement","vs.armpit","lower.placement","ideal.gap","height","arm.length","ideal_tingling","ideal_ulnar.tingling","ideal_petechia","ideal_discomfort","ideal_radial.tingling","ideal_thumb.motor","ideal_wrist.drop","upper.high_tingling","upper.high_ulnar.tingling","upper.high_petechia","upper.high_discomfort","upper.high_radial.tingling","upper.high_thumb.motor","upper.high_wrist.drop","upper.low_tingling","upper.low_ulnar.tingling","upper.low_petechia","upper.low_discomfort","upper.low_radial.tingling","upper.low_thumb.motor","upper.low_wrist.drop","lower.high_tingling","lower.high_ulnar.tingling","lower.high_petechia","lower.high_discomfort","lower.high_radial.tingling","lower.high_thumb.motor","lower.high_wrist.drop","lower.low_tingling","lower.low_ulnar.tingling","lower.low_petechia","lower.low_discomfort","lower.low_radial.tingling","lower.low_thumb.motor","lower.low_wrist.drop"
"1",1,"bottom","25-50","I'm not sure","high-deltoid","top-touching","below-midpoint",">4 rope","5' 9""","6""","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"2",2,"top","10-25","No","high-deltoid","top-touching","midpoint",">4 rope","5' 7""","6.5""","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"3",4,"top","25-50","No","low-deltoid","top-touching","midpoint-gap","2 rope","169cm","18cm","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"4",5,"bottom","25-50","No","low-deltoid","top-touching","midpoint","3-4 rope","172cm",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"5",6,"bottom","25-50","No","low-deltoid","top-touching","midpoint","3-4 rope","172cm",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"6",7,"top","> 200","No","high-deltoid","top-touching","midpoint-gap","2 rope","5' 3""",,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"7",8,"bottom","< 5","Yes","high-deltoid","below","midpoint-gap",">4 rope",,,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"8",9,"top","10-25","No","low-deltoid","top-touching","midpoint",">4 rope","168cm","20cm","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"9",10,"bottom","> 200","No","high-deltoid","above","low-deltoid","1 rope","5'4""",,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE"
"10",11,"top","50-200","No","gap","top-touching","low-midpoint","3-4 rope","5'4""",,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"11",12,"top","25-50","No","high-deltoid","top-touching","midpoint-gap","3-4 rope","5'2""","6.5""","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"12",13,"bottom","10-25","I'm not sure","low-deltoid","top-touching","midpoint",">4 rope","163 cm",,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"13",14,"top","10-25","Yes","high-deltoid","covering","low-midpoint","3-4 rope","5'1""",,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
